FLOOR,BUILDINGID,SPACEID,RELATIVEPOSITION,USERID,PHONEID,TIMESTAMP,LONGITUDE,LATITUDE,AP13,AP14,AP35,AP36,AP41,AP42,AP51,AP52,AP155,AP156,AP161,AP162
0.0,0.0,122.0,2.0,11.0,13.0,1369909710.0,-7632.143599998206,4864982.217100002,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0
0.0,0.0,102.0,2.0,11.0,13.0,1369908951.0,-7637.256999999285,4864949.814300001,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-95.0,-94.0
0.0,0.0,110.0,2.0,11.0,13.0,1369909107.0,-7628.134500000626,4864977.021200001,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-87.0,-88.0,-105.0,-105.0,-71.0,-71.0
0.0,0.0,111.0,2.0,11.0,13.0,1369909166.0,-7622.054600000381,4864976.294200003,-105.0,-105.0,-92.0,-91.0,-105.0,-105.0,-77.0,-77.0,-105.0,-105.0,-65.0,-71.0
0.0,0.0,107.0,2.0,11.0,13.0,1369909011.0,-7636.205699998885,4864967.330200002,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-85.0,-83.0
0.0,0.0,106.0,2.0,11.0,13.0,1369909056.0,-7633.729499999434,4864965.317299999,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-87.0,-88.0
0.0,0.0,115.0,2.0,11.0,13.0,1369909334.0,-7605.419300001115,4864979.070799999,-105.0,-105.0,-89.0,-88.0,-105.0,-105.0,-89.0,-105.0,-105.0,-105.0,-80.0,-80.0
0.0,0.0,114.0,2.0,11.0,13.0,1369909296.0,-7607.247600000352,4864978.546700001,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-94.0,-105.0,-105.0,-77.0,-78.0
0.0,0.0,113.0,2.0,11.0,13.0,1369909254.0,-7616.556000001728,4864975.878600001,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-81.0,-80.0,-105.0,-105.0,-67.0,-67.0
0.0,0.0,112.0,2.0,11.0,13.0,1369909217.0,-7618.586899999529,4864975.2962,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-85.0,-86.0,-105.0,-105.0,-72.0,-72.0
0.0,0.0,116.0,2.0,11.0,13.0,1369909383.0,-7592.733300000429,4864982.706900001,-105.0,-105.0,-105.0,-93.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0,-105.0
0.0,0.0,120.0,2.0,11.0,13.0,1369909545.0,-7611.056499999016,4864981.801700003,-105.0,-105.0,-91.0,-105.0,-105.0,-105.0,-90.0,-88.0,-105.0,-105.0,-87.0,-86.0
